track,artist,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
You’re Not Sorry (Taylor’s Version),Taylor Swift,6iiAfo4wTA2CVC3Uwx9uh8,0.506,0.444,6,-4.99,1,0.0285,0.0538,0.0,0.123,0.241,133.873
The Way I Loved You (Taylor’s Version),Taylor Swift,22bPsP2jCgbLUvh82U0Z3M,0.402,0.732,5,-4.665,1,0.0484,0.0033,0.0,0.108,0.472,161.032
Forever & Always (Taylor’s Version),Taylor Swift,1msEuwSBneBKpVCZQcFTsU,0.598,0.821,10,-4.433,1,0.0447,0.0231,0.0,0.143,0.673,128.03
The Best Day (Taylor’s Version),Taylor Swift,6ON9UuIq49xXY9GPmHIYRp,0.642,0.576,1,-8.524,1,0.0282,0.488,0.0,0.159,0.469,125.0
Change (Taylor’s Version),Taylor Swift,3ExweHKZF9B752DPQByRVT,0.499,0.815,5,-4.063,1,0.0341,0.000191,0.0,0.181,0.344,95.999
Jump Then Fall (Taylor’s Version),Taylor Swift,2m3ObD945KvpE5y9A1eUWm,0.572,0.69,2,-6.201,1,0.0358,0.0474,0.0,0.0897,0.624,160.111
Untouchable (Taylor’s Version),Taylor Swift,0tQ9vBYpldCuikPsbgOVKA,0.393,0.531,5,-6.112,1,0.0329,0.0181,0.0,0.169,0.224,200.391
Forever & Always (Piano Version) (Taylor’s Version),Taylor Swift,01QdEx6kFr78ZejhQtWR5m,0.546,0.273,9,-9.208,1,0.0308,0.819,0.0,0.137,0.271,118.753
Come In With The Rain (Taylor’s Version),Taylor Swift,1n2wszmJyVkw6FHqyLnQsY,0.476,0.564,2,-5.677,1,0.0269,0.0406,0.0,0.102,0.167,143.929
Superstar (Taylor’s Version),Taylor Swift,51A8eKvvZz9uydvIZ7xRSV,0.454,0.555,2,-6.69,1,0.0283,0.157,0.0,0.343,0.171,171.862
The Other Side Of The Door (Taylor’s Version),Taylor Swift,1cSFlSBdpT4F5vb1frQ231,0.432,0.873,4,-4.367,1,0.0577,0.0279,0.0,0.167,0.629,163.936
Today Was A Fairytale (Taylor’s Version),Taylor Swift,2JoJrsEV15OzbijS47lids,0.482,0.779,7,-5.025,1,0.0409,0.0135,0.0,0.296,0.328,158.162
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Taylor Swift,4CHpVfAhuxNJ3ibExe6kxO,0.599,0.494,2,-7.61,1,0.0372,0.816,0.0,0.101,0.44,142.893
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,2CYVETnhM9aytqrazYYwrK,0.66,0.817,11,-6.269,0,0.0521,0.162,0.0,0.0667,0.714,135.942
We Were Happy (Taylor’s Version) (From The Vault),Taylor Swift,34V9RiEPe8MNdU32qJsJa1,0.609,0.373,0,-8.819,1,0.0263,0.849,0.0,0.0779,0.13,106.007
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Taylor Swift,7eResoqEJJAVTkQYSqvO3P,0.588,0.608,5,-7.062,1,0.0365,0.225,0.0,0.092,0.508,90.201
Don’t You (Taylor’s Version) (From The Vault),Taylor Swift,4uuEGH5SVuzkkSFjo2DEiY,0.563,0.473,3,-11.548,1,0.0503,0.514,1.2e-05,0.109,0.405,101.934
Bye Bye Baby (Taylor’s Version) (From The Vault),Taylor Swift,4qUijfYU8EoIWiY6oSyrgT,0.624,0.624,5,-7.86,1,0.0539,0.334,0.0,0.0995,0.527,80.132
willow,Taylor Swift,2gVhfX2Gy1T9kDuS9azrF7,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112
champagne problems,Taylor Swift,1gcyHQpBQ1lfXGdhZmWrHP,0.462,0.24,0,-12.077,1,0.0377,0.92,0.0,0.113,0.32,171.319
gold rush,Taylor Swift,3Dby3p1m6IOZn2gIIqECgK,0.512,0.462,9,-10.491,1,0.0408,0.83,0.166,0.121,0.353,112.05
‘tis the damn season,Taylor Swift,6sQckd3Z8NPxVVKUnavY1F,0.575,0.434,5,-8.193,1,0.0312,0.735,6.59e-05,0.105,0.348,145.916
tolerate it,Taylor Swift,6lCvK2AR2uOKkVFCVlAzzm,0.316,0.361,9,-10.381,1,0.0488,0.878,2.67e-05,0.0797,0.221,74.952
"no body, no crime (feat. HAIM)",Taylor Swift,6uwfVkaOM1mcMkFmSn35ix,0.546,0.613,7,-7.589,0,0.0264,0.418,0.0,0.103,0.535,79.015
happiness,Taylor Swift,55Vf4bimc1Rtfg0PAQRAo2,0.559,0.334,11,-10.733,1,0.0376,0.87,0.0,0.114,0.211,122.079
dorothea,Taylor Swift,66tOfHVH3aUrscg8vExRV4,0.605,0.488,4,-8.322,1,0.0264,0.696,0.0,0.129,0.354,119.966
coney island (feat. The National),Taylor Swift,2awNGIJHodfLZSClB3PYhz,0.537,0.537,8,-11.266,1,0.0617,0.819,0.000904,0.142,0.292,107.895
ivy,Taylor Swift,43Ykum9T72UOPhBN31grpN,0.515,0.545,2,-9.277,1,0.0353,0.855,1.97e-05,0.0921,0.535,88.856
cowboy like me,Taylor Swift,52OkpDsU6MmPx1AwGOb6Ap,0.604,0.517,0,-9.014,1,0.0347,0.768,0.000155,0.123,0.511,127.967
long story short,Taylor Swift,5VYWxXUpxuxEmCqMLDqICo,0.546,0.73,0,-7.704,1,0.0417,0.66,0.179,0.0972,0.573,157.895
marjorie,Taylor Swift,5uICWmZTLkpEVbK22PBP6e,0.535,0.561,5,-11.609,1,0.0484,0.876,0.000136,0.115,0.287,96.103
closure,Taylor Swift,6a8aUhYbaQBUI8PcJ5ZmQ6,0.689,0.704,9,-10.813,1,0.245,0.835,4.83e-06,0.134,0.92,151.884
evermore (feat. Bon Iver),Taylor Swift,6Wlq9rqkxrqj5Kls4Kw14H,0.39,0.27,1,-10.673,1,0.0308,0.937,0.00227,0.111,0.32,125.177
right where you left me - bonus track,Taylor Swift,3zwMVvkBe2qIKDObWgXw4N,0.581,0.619,10,-6.524,1,0.0282,0.769,0.000106,0.117,0.645,137.915
it’s time to go - bonus track,Taylor Swift,1kdWw77ZpYOkhxeuhzU1j6,0.592,0.41,0,-12.426,1,0.0397,0.801,1.39e-05,0.09,0.416,151.923
willow,Taylor Swift,0lx2cLdOt3piJbcaXIV74f,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112
champagne problems,Taylor Swift,0sY6ZUTh4yoctD8VIXz339,0.462,0.24,0,-12.077,1,0.0377,0.92,0.0,0.113,0.32,171.319
gold rush,Taylor Swift,5BK0uqwY9DNfZ630STAEaq,0.512,0.462,9,-10.491,1,0.0408,0.83,0.166,0.121,0.353,112.05
‘tis the damn season,Taylor Swift,7dW84mWkdWE5a6lFWxJCBG,0.575,0.434,5,-8.193,1,0.0312,0.735,6.59e-05,0.105,0.348,145.916
tolerate it,Taylor Swift,0PurA4JVJ8YQgSVopY8fn6,0.316,0.361,9,-10.381,1,0.0488,0.878,2.67e-05,0.0797,0.221,74.952
"no body, no crime (feat. HAIM)",Taylor Swift,3RaT22zZsxVYxxKR7TAaYF,0.546,0.613,7,-7.589,0,0.0264,0.418,0.0,0.103,0.535,79.015
happiness,Taylor Swift,73YUReisjb3A9ActdLLjJQ,0.559,0.334,11,-10.733,1,0.0376,0.87,0.0,0.114,0.211,122.079
dorothea,Taylor Swift,670fUmXf4KQekzbEgaXyPA,0.605,0.488,4,-8.322,1,0.0264,0.696,0.0,0.129,0.354,119.966
